dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.064244,14.607034,0.000648,0.064815,3.240741,162.037037,6.282749
0.020000,4.064147,14.607034,0.000745,0.004864,-2.997538,-311.913954,6.282834
0.020000,4.063952,14.607034,0.000940,0.009723,0.242927,162.023245,6.283004
0.020000,4.065891,14.607034,0.002878,0.096918,4.359785,205.842943,0.000073
0.020000,4.075873,14.607037,0.012861,0.499117,20.109920,787.506739,0.000411
0.020000,4.088352,14.607045,0.025339,0.623938,6.241054,-693.443292,0.000834
0.020000,4.103327,14.607061,0.040315,0.748784,6.242292,0.061867,0.001340
0.020000,4.120801,14.607089,0.057788,0.873666,6.244110,0.090898,0.001929
0.020000,4.140772,14.607135,0.077760,0.998583,6.245851,0.087057,0.002600
0.020000,4.163243,14.607201,0.100231,1.123545,6.248105,0.112732,0.003353
0.020000,4.188214,14.607296,0.125202,1.248555,6.250512,0.120322,0.004186
0.020000,4.215686,14.607423,0.152674,1.373622,6.253331,0.140971,0.005099
0.020000,4.245661,14.607591,0.182649,1.498748,6.256328,0.149847,0.006090
0.020000,4.278139,14.607806,0.215128,1.623939,6.259513,0.159251,0.007159
0.020000,4.313122,14.608076,0.250112,1.749206,6.263373,0.193002,0.008304
0.020000,4.350611,14.608411,0.287603,1.874546,6.266972,0.179914,0.009524
0.020000,4.390609,14.608817,0.327603,1.999970,6.271234,0.213142,0.010817
0.020000,4.433116,14.609306,0.370112,2.125484,6.275688,0.222693,0.012182
0.020000,4.478134,14.609887,0.415134,2.251091,6.280347,0.232956,0.013617
0.020000,4.525665,14.610570,0.462670,2.376800,6.285466,0.255940,0.015121
0.020000,4.575711,14.611366,0.512722,2.502613,6.290642,0.258803,0.016691
0.020000,4.628273,14.612287,0.565293,2.628542,6.296422,0.288976,0.018326
0.020000,4.683355,14.613343,0.620385,2.754586,6.302205,0.289175,0.020024
0.020000,4.740958,14.614548,0.678000,2.880756,6.308516,0.315513,0.021782
0.020000,4.801083,14.615912,0.738141,3.007053,6.314863,0.317380,0.023598
0.020000,4.863734,14.617450,0.800811,3.133488,6.321745,0.344072,0.025469
0.020000,4.928912,14.619173,0.866012,3.260064,6.328788,0.352182,0.027394
0.020000,4.996621,14.621095,0.933748,3.386789,6.336238,0.372479,0.029370
0.020000,5.066862,14.623230,1.004021,3.513667,6.343926,0.384428,0.031394
0.020000,5.139638,14.625591,1.076835,3.640705,6.351871,0.397243,0.033463
0.020000,5.214951,14.628192,1.152194,3.767910,6.360259,0.419395,0.035574
0.020000,5.292804,14.631047,1.230099,3.895285,6.368774,0.425764,0.037725
0.020000,5.373201,14.634169,1.310556,4.022840,6.377737,0.448124,0.039912
0.020000,5.456142,14.637574,1.393568,4.150579,6.386951,0.460696,0.042132
0.020000,5.541632,14.641275,1.479138,4.278508,6.396433,0.474112,0.044381
0.020000,5.629674,14.645285,1.567270,4.406632,6.406219,0.489301,0.046657
0.020000,5.720269,14.649620,1.657970,4.534960,6.416397,0.508905,0.048955
0.020000,5.813422,14.654293,1.751240,4.663495,6.426762,0.518238,0.051273
0.020000,5.909135,14.659317,1.847084,4.792245,6.437470,0.535393,0.053606
0.020000,6.007412,14.664706,1.945509,4.921214,6.448471,0.550083,0.055951
0.020000,6.108255,14.670473,2.046517,5.050410,6.459804,0.566640,0.058303
0.020000,6.211669,14.676632,2.150114,5.179837,6.471347,0.577133,0.060658
0.020000,6.317656,14.683195,2.256304,5.309502,6.483265,0.595918,0.063013
0.020000,6.426220,14.690174,2.365092,5.439411,6.495418,0.607621,0.065363
0.020000,6.537365,14.697580,2.476483,5.569568,6.507879,0.623049,0.067704
0.020000,6.651094,14.705426,2.590483,5.699981,6.520621,0.637125,0.070032
0.020000,6.767412,14.713720,2.707096,5.830654,6.533648,0.651359,0.072341
0.020000,6.886322,14.722475,2.826328,5.961593,6.546944,0.664801,0.074627
0.020000,7.007828,14.731698,2.948184,6.092803,6.560535,0.679553,0.076885
0.020000,7.131936,14.741399,3.072670,6.224291,6.574394,0.692957,0.079112
0.020000,7.258648,14.751585,3.199791,6.356062,6.588533,0.706936,0.081300
