dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.063744,13.461034,0.000648,0.064815,3.240741,162.037037,6.282749
0.020000,4.063744,13.461034,0.003241,0.194444,6.481481,162.037037,6.282834
0.020000,4.063744,13.461034,0.008426,0.324074,6.481481,0.000000,6.283004
0.020000,4.065974,13.461034,0.016204,0.453704,6.481481,-0.000000,0.000073
0.020000,4.076345,13.461037,0.026574,0.583333,6.481481,0.000000,0.000411
0.020000,4.089308,13.461045,0.039537,0.712963,6.481481,0.000000,0.000834
0.020000,4.104863,13.461062,0.055093,0.842593,6.481481,0.000000,0.001340
0.020000,4.123011,13.461091,0.073241,0.972222,6.481481,0.000000,0.001929
0.020000,4.143752,13.461138,0.093981,1.101852,6.481481,-0.000000,0.002600
0.020000,4.167085,13.461208,0.117315,1.231481,6.481481,0.000000,0.003353
0.020000,4.193011,13.461306,0.143241,1.361111,6.481481,0.000000,0.004186
0.020000,4.221529,13.461438,0.171759,1.490741,6.481481,-0.000000,0.005099
0.020000,4.252640,13.461612,0.202870,1.620370,6.481481,0.000000,0.006090
0.020000,4.286343,13.461835,0.236574,1.750000,6.481481,-0.000000,0.007159
0.020000,4.322638,13.462116,0.272870,1.879630,6.481481,0.000000,0.008304
0.020000,4.361525,13.462463,0.311759,2.009259,6.481481,-0.000000,0.009524
0.020000,4.403005,13.462885,0.353241,2.138889,6.481481,0.000000,0.010817
0.020000,4.447076,13.463391,0.397315,2.268519,6.481481,-0.000000,0.012182
0.020000,4.493739,13.463993,0.443981,2.398148,6.481481,0.000000,0.013617
0.020000,4.542993,13.464701,0.493241,2.527778,6.481481,-0.000000,0.015121
0.020000,4.594838,13.465526,0.545093,2.657407,6.481481,0.000000,0.016691
0.020000,4.649274,13.466479,0.599537,2.787037,6.481481,0.000000,0.018326
0.020000,4.706301,13.467573,0.656574,2.916667,6.481481,0.000000,0.020024
0.020000,4.765917,13.468819,0.716204,3.046296,6.481481,-0.000000,0.021782
0.020000,4.828123,13.470231,0.778426,3.175926,6.481481,0.000000,0.023598
0.020000,4.892919,13.471821,0.843241,3.305556,6.481481,-0.000000,0.025469
0.020000,4.960303,13.473603,0.910648,3.435185,6.481481,0.000000,0.027394
0.020000,5.030274,13.475589,0.980648,3.564815,6.481481,0.000000,0.029370
0.020000,5.102833,13.477795,1.053241,3.694444,6.481481,0.000000,0.031394
0.020000,5.177979,13.480233,1.128426,3.824074,6.481481,-0.000000,0.033463
0.020000,5.255710,13.482917,1.206204,3.953704,6.481481,0.000000,0.035574
0.020000,5.336027,13.485862,1.286574,4.083333,6.481481,0.000000,0.037725
0.020000,5.418927,13.489082,1.369537,4.212963,6.481481,-0.000000,0.039912
0.020000,5.504411,13.492591,1.455093,4.342593,6.481481,0.000000,0.042132
0.020000,5.592476,13.496403,1.543241,4.472222,6.481481,-0.000000,0.044381
0.020000,5.683123,13.500532,1.633981,4.601852,6.481481,0.000000,0.046657
0.020000,5.776350,13.504993,1.727315,4.731481,6.481481,-0.000000,0.048955
0.020000,5.872155,13.509799,1.823241,4.861111,6.481481,-0.000000,0.051273
0.020000,5.970538,13.514963,1.921759,4.990741,6.481481,0.000000,0.053606
0.020000,6.071498,13.520499,2.022870,5.120370,6.481481,0.000000,0.055951
0.020000,6.175032,13.526421,2.126574,5.250000,6.481481,0.000000,0.058303
0.020000,6.281140,13.532740,2.232870,5.379630,6.481481,0.000000,0.060658
0.020000,6.389821,13.539469,2.341759,5.509259,6.481481,0.000000,0.063013
0.020000,6.501073,13.546621,2.453241,5.638889,6.481481,0.000000,0.065363
0.020000,6.614895,13.554206,2.567315,5.768519,6.481481,-0.000000,0.067704
0.020000,6.731285,13.562235,2.683981,5.898148,6.481481,0.000000,0.070032
0.020000,6.850242,13.570718,2.803241,6.027778,6.481481,0.000000,0.072341
0.020000,6.971765,13.579665,2.925093,6.157407,6.481481,-0.000000,0.074627
0.020000,7.095852,13.589084,3.049537,6.287037,6.481481,0.000000,0.076885
0.020000,7.222503,13.598983,3.176574,6.416667,6.481481,-0.000000,0.079112
0.020000,7.351716,13.609370,3.306204,6.546296,6.481481,0.000000,0.081300
0.020000,7.483489,13.620250,3.438426,6.675926,6.481481,-0.000000,0.083447
0.020000,7.617823,13.631629,3.573241,6.805556,6.481481,0.000000,0.085546
0.020000,7.754716,13.643511,3.710648,6.935185,6.481481,0.000000,0.087592
0.020000,7.893521,13.655840,3.850000,7.000000,3.240741,-162.037037,0.089571
0.020000,8.032948,13.668496,3.990000,7.000000,0.000000,-162.037037,0.091462
0.020000,8.172351,13.681409,4.130000,7.000000,0.000000,0.000000,0.093256
0.020000,8.311732,13.694565,4.270000,7.000000,0.000000,0.000000,0.094952
0.020000,8.451090,13.707951,4.410000,7.000000,0.000000,0.000000,0.096550
0.020000,8.590428,13.721552,4.550000,7.000000,0.000000,0.000000,0.098051
0.020000,8.729746,13.735357,4.690000,7.000000,0.000000,0.000000,0.099455
0.020000,8.869045,13.749349,4.830000,7.000000,0.000000,0.000000,0.100762
0.020000,9.008326,13.763518,4.970000,7.000000,0.000000,0.000000,0.101971
0.020000,9.147591,13.777847,5.110000,7.000000,0.000000,0.000000,0.103082
0.020000,9.286840,13.792325,5.250000,7.000000,0.000000,0.000000,0.104097
0.020000,9.426075,13.806937,5.390000,7.000000,0.000000,0.000000,0.105014
0.020000,9.565298,13.821670,5.530000,7.000000,0.000000,0.000000,0.105834
0.020000,9.704509,13.836511,5.670000,7.000000,0.000000,0.000000,0.106557
0.020000,9.843710,13.851445,5.810000,7.000000,0.000000,0.000000,0.107183
0.020000,9.982903,13.866460,5.950000,7.000000,0.000000,0.000000,0.107711
0.020000,10.122088,13.881542,6.090000,7.000000,0.000000,0.000000,0.108143
0.020000,10.261268,13.896677,6.230000,7.000000,0.000000,0.000000,0.108477
0.020000,10.400443,13.911851,6.370000,7.000000,0.000000,0.000000,0.108715
0.020000,10.539615,13.927052,6.510000,7.000000,0.000000,0.000000,0.108855
0.020000,10.678786,13.942266,6.650000,7.000000,0.000000,0.000000,0.108898
0.020000,10.817957,13.957479,6.790000,7.000000,0.000000,0.000000,0.108844
0.020000,10.957130,13.972678,6.930000,7.000000,0.000000,0.000000,0.108693
0.020000,11.096305,13.987849,7.070000,7.000000,0.000000,0.000000,0.108445
0.020000,11.235485,14.002978,7.210000,7.000000,0.000000,0.000000,0.108100
0.020000,11.374671,14.018053,7.350000,7.000000,0.000000,0.000000,0.107658
0.020000,11.513865,14.033060,7.490000,7.000000,0.000000,0.000000,0.107118
