dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.063245,12.315034,0.000648,0.064815,3.240741,162.037037,6.282749
0.020000,4.063342,12.315034,0.000745,0.004864,-2.997538,-311.913954,6.282834
0.020000,4.063537,12.315034,0.000940,0.009723,0.242927,162.023245,6.283004
0.020000,4.066058,12.315034,0.003461,0.126059,5.816799,278.693644,0.000073
0.020000,4.076816,12.315037,0.014219,0.537919,20.593038,738.811911,0.000411
0.020000,4.090263,12.315045,0.027667,0.672360,6.722014,-693.551187,0.000834
0.020000,4.106399,12.315063,0.043802,0.806770,6.720520,-0.074710,0.001340
0.020000,4.125222,12.315094,0.062625,0.941152,6.719082,-0.071882,0.001929
0.020000,4.146732,12.315142,0.084135,1.075491,6.716991,-0.104563,0.002600
0.020000,4.170927,12.315214,0.108331,1.209789,6.714880,-0.105555,0.003353
0.020000,4.197808,12.315316,0.135211,1.344036,6.712357,-0.126146,0.004186
0.020000,4.227372,12.315453,0.164776,1.478230,6.709701,-0.132808,0.005099
0.020000,4.259619,12.315633,0.197023,1.612363,6.706655,-0.152285,0.006090
0.020000,4.294547,12.315865,0.231952,1.746428,6.703228,-0.171336,0.007159
0.020000,4.332154,12.316155,0.269560,1.880427,6.699941,-0.164365,0.008304
0.020000,4.372439,12.316515,0.309847,2.014342,6.695783,-0.207919,0.009524
0.020000,4.415401,12.316952,0.352811,2.148177,6.691746,-0.201841,0.010817
0.020000,4.461036,12.317476,0.398449,2.281924,6.687318,-0.221388,0.012182
0.020000,4.509343,12.318100,0.446761,2.415574,6.682511,-0.240328,0.013617
0.020000,4.560321,12.318832,0.497743,2.549126,6.677596,-0.245782,0.015121
0.020000,4.613965,12.319686,0.551395,2.682568,6.672136,-0.272984,0.016691
0.020000,4.670275,12.320672,0.607713,2.815903,6.666715,-0.271061,0.018326
0.020000,4.729246,12.321803,0.666695,2.949117,6.660687,-0.301419,0.020024
0.020000,4.790877,12.323091,0.728339,3.082209,6.654608,-0.303912,0.021782
0.020000,4.855164,12.324550,0.792642,3.215168,6.647954,-0.332731,0.023598
0.020000,4.922103,12.326193,0.859602,3.347993,6.641252,-0.335105,0.025469
0.020000,4.991693,12.328033,0.929216,3.480675,6.634102,-0.357460,0.027394
0.020000,5.063928,12.330084,1.001480,3.613210,6.626765,-0.366879,0.029370
0.020000,5.138805,12.332360,1.076392,3.745591,6.619059,-0.385287,0.031394
0.020000,5.216320,12.334874,1.153948,3.877811,6.611003,-0.402812,0.033463
0.020000,5.296470,12.337642,1.234145,4.009867,6.602794,-0.410430,0.035574
0.020000,5.379249,12.340678,1.316980,4.141749,6.594097,-0.434868,0.037725
0.020000,5.464654,12.343995,1.402450,4.273454,6.585251,-0.442278,0.039912
0.020000,5.552679,12.347608,1.490549,4.404975,6.576050,-0.460079,0.042132
0.020000,5.643321,12.351532,1.581275,4.536305,6.566511,-0.476924,0.044381
0.020000,5.736573,12.355780,1.674624,4.667439,6.556675,-0.491812,0.046657
0.020000,5.832430,12.360366,1.770591,4.798372,6.546636,-0.501940,0.048955
0.020000,5.930889,12.365305,1.869173,4.929095,6.536180,-0.522832,0.051273
0.020000,6.031942,12.370609,1.970365,5.059605,6.525473,-0.535307,0.053606
0.020000,6.135584,12.376292,2.074163,5.189894,6.514469,-0.550242,0.055951
0.020000,6.241809,12.382368,2.180562,5.319958,6.503208,-0.563044,0.058303
0.020000,6.350612,12.388848,2.289558,5.449790,6.491567,-0.582053,0.060658
0.020000,6.461987,12.395744,2.401146,5.579384,6.479724,-0.592131,0.063013
0.020000,6.575926,12.403068,2.515321,5.708735,6.467535,-0.609458,0.065363
0.020000,6.692425,12.410831,2.632077,5.837836,6.455082,-0.622651,0.067704
0.020000,6.811475,12.419044,2.751411,5.966683,6.442341,-0.637045,0.070032
0.020000,6.933072,12.427715,2.873316,6.095270,6.429320,-0.651050,0.072341
0.020000,7.057208,12.436854,2.997788,6.223590,6.416007,-0.665660,0.074627
0.020000,7.183876,12.446469,3.124821,6.351638,6.402433,-0.678685,0.076885
0.020000,7.313070,12.456568,3.254409,6.479410,6.388575,-0.692908,0.079112
0.020000,7.444783,12.467155,3.386547,6.606899,6.374448,-0.706332,0.081300
0.020000,7.579009,12.478238,3.521229,6.734099,6.360013,-0.721752,0.083447
0.020000,7.715739,12.489820,3.658449,6.861007,6.345379,-0.731712,0.085546
0.020000,7.854968,12.501904,3.798201,6.987615,6.330416,-0.748123,0.087592
0.020000,7.996032,12.514434,3.939821,7.080997,4.669098,-83.065908,0.089571
0.020000,8.137617,12.527286,4.081989,7.108356,1.367957,-165.057071,0.091462
0.020000,8.279067,12.540388,4.224044,7.102769,-0.279371,-82.366419,0.093256
0.020000,8.420383,12.553727,4.365988,7.097183,-0.279302,0.003498,0.094952
0.020000,8.561565,12.567288,4.507820,7.091598,-0.279222,0.003966,0.096550
0.020000,8.702615,12.581057,4.649540,7.086015,-0.279136,0.004323,0.098051
0.020000,8.843533,12.595020,4.791149,7.080435,-0.279044,0.004576,0.099455
0.020000,8.984322,12.609162,4.932646,7.074856,-0.278950,0.004731,0.100762
0.020000,9.124982,12.623470,5.074031,7.069279,-0.278854,0.004795,0.101971
0.020000,9.265514,12.637930,5.215305,7.063703,-0.278758,0.004774,0.103082
0.020000,9.405920,12.652528,5.356468,7.058130,-0.278665,0.004674,0.104097
0.020000,9.546200,12.667250,5.497519,7.052559,-0.278575,0.004503,0.105014
0.020000,9.686358,12.682082,5.638459,7.046989,-0.278489,0.004266,0.105834
0.020000,9.826393,12.697011,5.779287,7.041421,-0.278410,0.003970,0.106557
0.020000,9.966307,12.712022,5.920004,7.035854,-0.278338,0.003621,0.107183
0.020000,10.106101,12.727102,6.060610,7.030288,-0.278273,0.003225,0.107711
0.020000,10.245778,12.742236,6.201105,7.024724,-0.278217,0.002789,0.108143
0.020000,10.385339,12.757413,6.341488,7.019161,-0.278171,0.002319,0.108477
0.020000,10.524784,12.772617,6.481760,7.013598,-0.278134,0.001822,0.108715
0.020000,10.664116,12.787835,6.621920,7.008036,-0.278108,0.001303,0.108855
0.020000,10.803337,12.803054,6.761970,7.002474,-0.278093,0.000769,0.108898
0.020000,10.942446,12.818261,6.901908,6.996912,-0.278089,0.000226,0.108844
0.020000,11.081447,12.833441,7.041735,6.991350,-0.278095,-0.000320,0.108693
0.020000,11.220340,12.848581,7.181451,6.985788,-0.278112,-0.000862,0.108445
0.020000,11.359127,12.863668,7.321055,6.980225,-0.278140,-0.001395,0.108100
0.020000,11.497809,12.878688,7.460549,6.974662,-0.278178,-0.001912,0.107658
0.020000,11.636388,12.893628,7.599931,6.969097,-0.278226,-0.002406,0.107118
0.020000,11.774865,12.908475,7.739201,6.963531,-0.278284,-0.002872,0.106482
0.020000,11.913241,12.923216,7.878361,6.957964,-0.278348,-0.003221,0.105748
0.020000,12.051518,12.937836,8.017408,6.952396,-0.278421,-0.003655,0.104918
0.020000,12.189697,12.952323,8.156345,6.946826,-0.278504,-0.004124,0.103990
0.020000,12.327780,12.966664,8.295170,6.941254,-0.278590,-0.004330,0.102964
0.020000,12.465767,12.980845,8.433884,6.935681,-0.278682,-0.004559,0.101842
0.020000,12.603659,12.994853,8.572486,6.930105,-0.278776,-0.004723,0.100622
0.020000,12.741458,13.008675,8.710976,6.924528,-0.278872,-0.004813,0.099305
0.020000,12.879165,13.022298,8.849355,6.918948,-0.278969,-0.004824,0.097890
0.020000,13.016780,13.035709,8.987623,6.913367,-0.279064,-0.004750,0.096379
0.020000,13.154305,13.048894,9.125778,6.907784,-0.279155,-0.004583,0.094769
0.020000,13.291741,13.061840,9.263822,6.902199,-0.279242,-0.004317,0.093062
0.020000,13.429088,13.074535,9.401755,6.896613,-0.279321,-0.003947,0.091258
0.020000,13.566346,13.086966,9.539575,6.891025,-0.279390,-0.003464,0.089356
0.020000,13.703518,13.099118,9.677284,6.885436,-0.279447,-0.002864,0.087357
0.020000,13.840603,13.110981,9.814881,6.879846,-0.279490,-0.002138,0.085260
0.020000,13.977601,13.122539,9.952366,6.874256,-0.279516,-0.001282,0.083065
0.020000,14.114513,13.133781,10.089739,6.868665,-0.279521,-0.000288,0.080773
0.020000,14.251180,13.144681,10.226840,6.855051,-0.680712,-20.059530,0.078387
